Name,Description,Repository,Commercial support,
varnish-mib,,http://www.gnu.org.ua/software/varnish-mib/download.html,NXC International,NXC International
Datadog,,https://docs.datadoghq.com/integrations/varnish/,Varnish Software,Varnish Software
Munin Varnish plugin,,http://munin-monitoring.org/,Varnish Software,Varnish Software
Varnish Custom Statistics (VCS),,https://www.varnish-software.com/varnish-custom-statistics,Varnish Software,Varnish Software
AppDynamics Varnish plugin,,https://github.com/Appdynamics/varnish-monitoring-extension,No,No
Cacti Varnish plugin,,https://github.com/glensc/cacti-template-varnish,No,No
Collectd Varnish plugin,,https://collectd.org/wiki/index.php/Plugin:Varnish,No,No
Enhanced Varnish Dashboard,,https://github.com/brandonwamboldt/varnish-dashboard,No,No
Graphite PyVarnish,,https://github.com/redsnapper8t8/pyvarnish,No,No
Graphite Varnish plugin,,https://github.com/jssjr/varnish-graphite,No,No
Hyperic Varnish plugin,,https://github.com/pbruna/varnish-hyperic,No,No
LogStash Varnish plugin,,http://logstash.net/,No,No
New Relic Varnish plugin,,https://github.com/ilons/newrelic_varnish_plugin,No,No
Prometheus Exporter,,https://github.com/jonnenauha/prometheus_varnish_exporter,No,No
Really Simple Varnish Panel,,https://github.com/benjaminbellamy/rsvp,No,No
SysUsage Varnish plugin,,https://github.com/huayra/sysusage_varnish_plugin,No,No
Varnish Agent 2 Dashboard,,https://github.com/pbruna/Varnish-Agent-Dashboard,No,No
Varnish Agent 2 Dashboard for Drupal,,https://drupal.org/project/varnish_dashboard,No,No
varnishhoststat (per domain or url-pattern stat),,https://github.com/xcir/varnishHostStat,No,No
varnishkafka - varnishlog + Apache Kafka,,https://github.com/wikimedia/varnishkafka,No,No
Varnishlog parser / vsltrans (Python),,https://github.com/xcir/vsltrans,No,No
Hyperic Varnish plugin,,https://github.com/TOMHTML/varnishlog-parser,No,No
Varnishsentry,,https://github.com/carlosabalde/varnishsentry,No,No
vlogdump,,https://github.com/cosimo/vlogdump,No,No
Zabbix Template for Varnish Cache >= 4.0,,https://github.com/allenta/zabbix-template-for-varnish-cache,No,No
Tracking Log Reader (trackrdrd),,https://code.uplex.de/uplex-varnish/trackrdrd,Uplex,Uplex
varnish-influxdb,Varnish counters to InfluxDB over UDP,https://github.com/lkarsten/varnish-influxdb,No,No
varnishevent,Varnish log reader designed for heavy loads,https://code.uplex.de/uplex-varnish/varnishevent,Uplex,Uplex
varnishslog,Reads Varnish Cache VSL (binary) log stream and produces structured log records in JSON format,https://github.com/jpastuszek/varnishslog,No,No
